id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
8,Jurriën,Timber,J.Timber,a,,,6.3,70,2.0,27.2,12,4.0,3.3,97.0,32.0,0,0,0.0,8,-8.0,19305,21579,0.5,15.6,4.3,3.8,5.2,13.0,4.0,100.0,100.0,75.0,33.0,68.0,13.0,45.0,1.0,43.0,3.0,,,,,,,,0.24,0.05,0.29,0.63,0.0,0.46,0.7,0.99,5.75,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44135.0,88934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bukayo,Saka,Saka,a,,,10.2,5,3.0,20.4,16,5.0,5.2,25.0,14.0,0,0,0.0,2,-2.0,11264,17611,0.5,9.3,6.2,5.7,5.3,11.0,7.0,100.0,100.0,68.0,20.0,8.0,8.0,11.0,5.0,7.0,5.0,2.0,,1.0,,,,,0.35,0.29,0.64,0.59,0.0,0.47,0.6,1.01,7.1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25621.0,90844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Martin,Ødegaard,Ødegaard,a,,,7.8,17,12.0,2.5,118,39.0,4.3,45.0,24.0,0,0,0.0,-2,2.0,4934,1834,0.6,5.8,5.3,4.8,3.2,163.0,72.0,100.0,100.0,193.0,82.0,33.0,31.0,154.0,91.0,95.0,54.0,4.0,,3.0,,,,,0.1,0.24,0.34,1.18,0.0,0.34,0.91,1.13,7.6,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13082.0,8019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Noni,Madueke,Madueke,a,,,6.8,45,28.0,0.7,223,79.0,0.5,352.0,157.0,0,0,0.0,-2,2.0,258,502,0.1,2.8,1.5,1.0,1.7,362.0,160.0,100.0,100.0,370.0,163.0,156.0,107.0,111.0,64.0,239.0,119.0,3.0,,,,,,,0.1,0.24,0.34,1.24,0.0,0.55,0.91,1.1,4.93,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,1528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Gabriel,Martinelli Silva,Martinelli,a,,,6.8,46,29.0,0.8,195,66.0,1.2,282.0,127.0,0,0,0.0,-2,2.0,296,362,0.2,4.1,2.2,1.7,1.9,337.0,148.0,100.0,100.0,353.0,156.0,269.0,159.0,122.0,72.0,290.0,141.0,,,,,,,,0.37,0.03,0.4,0.99,0.0,0.38,0.57,1.14,5.13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Leandro,Trossard,Trossard,a,,,6.9,41,25.0,1.8,145,50.0,3.3,98.0,46.0,0,-1,1.0,-1,1.0,2848,5009,0.5,11.3,4.3,3.8,4.9,21.0,11.0,100.0,100.0,100.0,33.0,45.0,39.0,37.0,21.0,39.0,29.0,,,4.0,,,,,0.34,0.17,0.51,0.68,0.0,0.42,0.76,0.93,5.58,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7819.0,23583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Christian,Nørgaard,Nørgaard,a,,,5.1,225,138.0,0.1,426,142.0,0.2,407.0,188.0,0,0,0.0,-4,4.0,36,55,0.0,0.6,1.2,0.7,1.0,467.0,218.0,100.0,100.0,430.0,193.0,451.0,219.0,390.0,193.0,441.0,200.0,,,,,,,,0.15,0.0,0.15,6.27,0.0,0.0,2.9,0.0,23.23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Ethan,Nwaneri,Nwaneri,a,,,5.0,268,163.0,0.1,428,143.0,0.0,739.0,321.0,0,0,0.0,-5,5.0,33,56,0.0,1.6,1.0,0.5,1.3,408.0,182.0,,,436.0,197.0,356.0,185.0,341.0,178.0,414.0,186.0,,,,,,,,0.13,0.04,0.17,0.4,0.0,0.55,0.0,0.0,7.09,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Martín,Zubimendi Ibáñez,Zubimendi,a,,,5.2,216,133.0,2.2,127,43.0,2.8,138.0,59.0,0,0,0.0,-3,3.0,987,2101,0.5,13.8,3.8,3.3,3.6,108.0,48.0,100.0,100.0,83.0,25.0,62.0,50.0,135.0,78.0,75.0,47.0,,,,,,,,0.1,0.07,0.17,0.76,0.0,0.48,0.7,1.02,9.05,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2709.0,7121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ismeal,Kabia,Kabia,u,has joined Shrewsbury Town on loan for the rest of the season.,,4.5,475,290.0,0.1,464,156.0,0.0,665.0,266.0,0,0,0.0,0,0.0,0,14,0.0,0.0,0.0,0.0,0.0,707.0,291.0,0.0,0.0,706.0,290.0,701.0,290.0,685.0,285.0,706.0,290.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
