player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
182,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,0,0.0,0.0,0,0,0,0,45,19,0.0,0.0,11,0,0.0,7,0.0,0,0,10,0,4,0,0,1,0,0,0.0,1,0.0,0,0,2,0,0.8,0.8,0,19,7,0.0,1,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,1,2,0.42,0.03,0,1,0,5,59,35,0.0,1.0,4,0,0.0,1,0.0,0,0,9,1,0,0,0,6,3,6,0.0,0,0.0,3,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,0,0.0,0.03,0,0,0,0,76,58,0.0,0.0,13,0,0.0,4,0.0,0,0,4,0,6,2,0,5,2,4,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,4,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,25-26-efl-cup-manchester-city-vs-newcastle-united,90,1,0,1,0.89,0.03,1,1,0,6,48,27,0.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,1,5,7,3,0.0,2,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.89,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,25-26-efl-cup-manchester-city-vs-newcastle-united,77,0,0,0,0.0,0.26,0,3,0,7,45,17,0.0,2.0,1,2,0.0,0,0.0,0,0,2,0,0,0,0,6,4,6,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,1,0.02,0.07,0,2,0,3,85,30,0.0,2.0,11,0,0.0,2,0.0,0,1,5,2,2,1,0,12,4,11,0.0,1,0.0,4,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,5,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,25-26-efl-cup-manchester-city-vs-newcastle-united,62,0,0,0,0.0,0.07,0,1,0,0,38,17,0.0,1.0,1,0,0.0,1,0.0,0,0,4,0,1,0,0,3,3,3,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,25-26-efl-cup-manchester-city-vs-newcastle-united,13,1,0,4,0.44,0.03,3,0,0,4,22,14,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,1,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.8,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,25-26-efl-cup-manchester-city-vs-newcastle-united,88,0,0,1,0.1,0.02,0,0,0,1,52,33,0.0,0.0,7,0,0.0,0,0.0,0,1,2,0,2,0,0,1,1,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,0,0.0,0.06,0,0,0,1,19,11,0.0,3.0,1,0,0.0,0,0.0,0,0,2,0,1,1,0,2,2,0,0.0,2,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,25-26-efl-cup-manchester-city-vs-newcastle-united,62,0,0,0,0.0,0.04,0,0,0,0,55,42,0.0,0.0,5,0,0.0,0,0.0,0,0,3,0,3,0,1,4,4,2,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,25-26-efl-cup-manchester-city-vs-newcastle-united,62,0,0,2,0.12,0.04,0,1,0,1,43,30,0.0,0.0,3,0,0.0,2,0.0,0,0,3,0,0,0,0,3,2,3,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,2,0.08,0.01,0,1,0,3,54,29,0.0,0.0,3,0,0.0,2,0.0,0,0,4,0,2,1,2,8,4,4,0.0,4,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,25-26-efl-cup-manchester-city-vs-newcastle-united,69,0,0,0,0.0,0.44,0,0,0,2,25,11,0.0,4.0,0,3,0.0,1,0.0,0,0,3,0,3,0,1,2,4,2,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,25-26-efl-cup-manchester-city-vs-newcastle-united,28,0,0,0,0.0,0.02,0,0,0,0,30,25,0.0,0.0,6,0,0.0,0,0.0,0,0,2,0,1,1,1,1,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,25-26-efl-cup-manchester-city-vs-newcastle-united,28,0,0,0,0.0,0.02,0,0,0,1,20,9,0.0,2.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,2,2,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,25-26-efl-cup-manchester-city-vs-newcastle-united,87,0,0,2,0.06,0.01,1,1,0,2,44,25,0.0,0.0,1,0,0.0,2,0.0,0,1,3,0,0,0,1,4,6,4,0.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.05,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
