id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
622,u,0.0,0.0,4.4,538,322.0,0,0.0,-1,1.0,0.1,557,203.0,0,0,0.0,652.0,252.0,0,0,0.0,591.0,209.0,0.0,0.0,0.0,1052,0,11724,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,244.0,0.0,641.0,249.0,0.0,615.0,237.0,0.0,646.0,246.0,,,,22,,Lewis,Orford,Orford,has joined Stevenage on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
623,a,100.0,100.0,4.4,534,318.0,0,0.0,-1,1.0,0.8,203,69.0,29,0,1.8,340.0,148.0,0,186,1.3,247.0,106.0,0.3,6.6,0.0,135517,130,128437,360,1.3,1.3,0.21,0.4,0.61,19.37,0.02,0.04,0.06,1.8,159.0,250.0,108.0,124.8,180.0,119.0,35.0,312.0,164.0,31.9,275.0,134.0,1.0,,,22,,Freddie,Potts,Potts,,,967,0,1,0,23,0,0,0,1,0,0,10,96,,,,0.0,0.0,2.14,0.93,8.93,23,37,36
624,a,,,7.7,18,6.0,0,0.0,-3,3.0,8.1,52,10.0,93,3,4.2,60.0,7.0,16,367,3.2,111.0,13.0,0.4,12.1,0.0,1782018,2868,2618434,6315,3.2,3.2,4.6,1.64,6.24,37.61,0.21,0.07,0.28,1.71,415.8,52.0,4.0,269.0,76.0,2.0,575.0,9.0,6.0,125.8,17.0,3.0,,1.0,2.0,22,,Jarrod,Bowen,Bowen,,,1980,6,2,1,44,0,0,0,3,0,0,22,148,,,,0.0,0.05,2.0,1.0,6.73,27,34,87
625,u,0.0,0.0,5.6,124,33.0,0,0.0,-4,4.0,0.6,234,35.0,12,0,1.5,390.0,44.0,0,28,0.0,776.0,83.0,0.0,2.1,0.0,47611,0,389601,86,0.0,0.0,0.93,0.21,1.14,8.59,0.21,0.05,0.26,1.9,26.0,412.0,44.0,85.1,235.0,24.0,130.0,153.0,35.0,23.8,312.0,37.0,,,,22,,Niclas,Füllkrug,Füllkrug,has joined AC Milan on loan for the rest of the season.,,407,0,0,1,11,0,0,0,0,0,0,5,19,,,,0.0,0.22,2.43,1.11,4.2,2,7,10
638,u,0.0,0.0,3.8,779,244.0,0,0.0,-2,2.0,1.2,168,66.0,10,0,1.2,416.0,151.0,0,38,0.7,303.0,110.0,0.2,2.6,0.0,121813,0,227490,1148,0.0,0.0,0.02,0.36,0.38,9.36,0.0,0.08,0.08,1.99,101.4,311.0,119.0,87.8,228.0,65.0,13.0,371.0,132.0,20.3,330.0,110.0,,,,22,,Ki-Jana,Hoever,Hoever,has joined Sheffield United on loan for the rest of the season.,,423,0,0,0,13,0,0,0,0,0,0,6,46,,,,0.0,0.0,2.77,1.28,8.51,13,27,16
640,a,100.0,100.0,4.0,712,205.0,0,0.0,0,0.0,0.4,280,105.0,1,0,1.0,433.0,162.0,0,3,0.2,375.0,141.0,0.0,0.2,0.0,8175,13,86905,25,-0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,477.0,170.0,0.1,461.0,168.0,0.0,557.0,233.0,0.0,600.0,238.0,,,,22,,Pedro,Cardoso de Lima,Pedro Lima,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
641,u,0.0,0.0,3.9,753,223.0,0,0.0,-1,1.0,1.1,174,69.0,0,0,0.0,538.0,195.0,0,0,0.0,455.0,173.0,0.0,0.0,0.0,85684,0,131901,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,195.0,0.0,521.0,196.0,0.0,483.0,187.0,0.0,531.0,195.0,,,,22,,Alfie,Pond,Pond,has joined Crewe Alexandra on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
571,d,25.0,100.0,4.3,563,124.0,0,0.0,-2,2.0,0.1,506,183.0,10,0,3.3,135.0,50.0,1,29,1.5,231.0,87.0,0.3,2.3,0.0,4282,10,10549,39,0.4,1.5,0.49,0.07,0.56,1.11,0.32,0.05,0.37,0.73,67.4,356.0,136.0,22.3,362.0,130.0,52.0,282.0,85.0,14.2,363.0,131.0,,,,22,,Ben,Davies,Davies,Leg injury - 25% chance of playing,,136,1,0,0,3,0,0,0,1,0,0,2,14,,,,0.0,0.0,1.99,1.32,9.26,5,9,5
572,a,100.0,100.0,4.5,437,88.0,0,0.0,0,0.0,0.0,713,244.0,1,0,1.0,449.0,164.0,0,2,0.2,385.0,145.0,0.0,0.2,0.0,955,8,935,7,0.2,0.2,0.06,0.0,0.06,0.06,1.08,0.0,1.08,1.08,0.0,681.0,252.0,0.3,459.0,167.0,4.0,406.0,150.0,0.4,471.0,167.0,,,,22,,Radu,Drăgușin,Dragusin,,,5,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,18.0,0,1,1
573,a,,,4.3,572,130.0,0,0.0,-2,2.0,1.1,171,67.0,54,1,2.8,213.0,83.0,1,201,2.8,127.0,49.0,0.7,12.6,0.0,289735,144,322145,464,2.8,2.8,0.78,0.81,1.59,22.16,0.05,0.05,0.1,1.41,179.0,228.0,90.0,130.0,173.0,44.0,117.0,174.0,36.0,42.5,220.0,73.0,,,,22,,Djed,Spence,Spence,,,1416,0,0,7,19,0,0,0,3,0,0,16,96,,,,0.0,0.44,1.21,1.02,4.58,25,47,77
